accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
980	E-GEOD-31042	microarray_1colour_mrna_differential	Mus musculus		bone marrow	2 to 3 week			
981	E-GEOD-31115	microarray_1colour_mrna_differential	Mus musculus		epidimymal fat; liver; subcutaneous fat				
982	E-GEOD-31138	microarray_1colour_mrna_differential	Homo sapiens		blood vessel			invasive ductal carcinoma	
983	E-GEOD-31188	microarray_1colour_mrna_differential	Zea mays		leaf				
984	E-GEOD-31192	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
985	E-GEOD-31193	microarray_1colour_mrna_differential	Homo sapiens						
986	E-GEOD-31234	rnaseq_mrna_baseline	Mus musculus	DN1; DN2a; DN2b; DN3; DP	adult thymus; fetal liver		TCRa -/-; wild type genotype		
987	E-GEOD-31348	microarray_1colour_mrna_differential	Homo sapiens	adult	blood			tuberculosis	
988	E-GEOD-31406	microarray_1colour_mrna_differential	Mus musculus		uterus				
989	E-GEOD-31430	microarray_1colour_mrna_differential	Rattus norvegicus						male
990	E-GEOD-31455	microarray_1colour_mrna_differential	Homo sapiens		liver			hepatitis C infection	
991	E-GEOD-31564	microarray_1colour_mrna_differential	Drosophila melanogaster						
992	E-GEOD-31587	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	4 day			
993	E-GEOD-31594	microarray_1colour_mrna_differential	Vitis vinifera	vegetative growth	shoot				
994	E-GEOD-31625	microarray_1colour_mrna_differential	Homo sapiens		lung			non small cell lung cancer	
995	E-GEOD-31639	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	14 day			
996	E-GEOD-31652	microarray_1colour_mrna_differential	Homo sapiens						
997	E-GEOD-31660	microarray_1colour_mrna_differential	Vitis vinifera	ripening; veraison	fruit	6 year			
998	E-GEOD-31664	microarray_1colour_mrna_differential	Vitis vinifera		epicarp				
999	E-GEOD-31677	microarray_1colour_mrna_differential	Vitis vinifera	vegetative growth	shoot	2 year			
1000	E-GEOD-31782	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1001	E-GEOD-31812	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1002	E-GEOD-3183	microarray_1colour_mrna_differential	Homo sapiens		bronchus				
1003	E-GEOD-31834	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	seedling	lower shoot base; upper shoot base	21 day			
1004	E-GEOD-31839	rnaseq_mrna_differential	Mus musculus		triceps brachii	6 month			
1005	E-GEOD-31875	microarray_1colour_mrna_differential	Drosophila melanogaster		brain	3 day			female
1006	E-GEOD-31973	microarray_1colour_mrna_differential	Rattus norvegicus		liver	8 week			male
1007	E-GEOD-31977	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	root	4 day			
1008	E-GEOD-31986	microarray_1colour_mrna_differential	Homo sapiens						
1009	E-GEOD-3203	microarray_1colour_mrna_differential	Mus musculus		lymph node; mediastinal lymph node	8 to 12 week		influenza; influenza virus; uninfected	female
1010	E-GEOD-32129	microarray_1colour_mrna_differential	Mus musculus		mammary epithelial organoid				
1011	E-GEOD-32175	microarray_1colour_mrna_differential	Homo sapiens		saliva			lung cancer	
1012	E-GEOD-32193	microarray_1colour_mrna_differential	Arabidopsis thaliana	flowering stage; petal differentiation and expansion stage	flower; flower bud				
1013	E-GEOD-3223	microarray_1colour_mrna_differential	Mus musculus	embryoid body					Male
1014	E-GEOD-32254	microarray_1colour_mrna_differential	Homo sapiens		lung			lung adenocarcinoma	
1015	E-GEOD-32277	microarray_1colour_mrna_differential	Mus musculus		neoplasm			pancreatic ductal adenocarcinoma	
1016	E-GEOD-3231	microarray_1colour_mrna_differential	Mus musculus						
1017	E-GEOD-32322	microarray_1colour_mrna_differential	Populus trichocarpa		xylem	3 month			
1018	E-GEOD-32384	microarray_1colour_mrna_differential	Homo sapiens	adult	liver			colorectal carcinoma	
1019	E-GEOD-32407	microarray_1colour_mrna_differential	Homo sapiens		skin			normal; psoriasis	
1020	E-GEOD-32424	rnaseq_mrna_differential	Homo sapiens		esophagus			esophageal squamous cell carcinoma	
1021	E-GEOD-32521	microarray_1colour_mrna_differential	Caenorhabditis elegans	L3					
1022	E-GEOD-32526	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1023	E-GEOD-32566	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	30 d day			
1024	E-GEOD-32569	microarray_1colour_mrna_differential	Homo sapiens		metastasis site			alveolar soft part sarcoma	
1025	E-GEOD-32609	microarray_1colour_mrna_differential	Mus musculus		liver	3 month			female
1026	E-GEOD-32645	microarray_1colour_mrna_differential	Homo sapiens		cerebral cortex	24 year, 67 year, 48 year; 41 year, 42 year, 46 year; 89 year, 82 year, 60 year		Alzheimers disease; meningeal tuberculosis; secondary progressive multiple sclerosis	female; female, male
1027	E-GEOD-32659	microarray_1colour_mrna_differential	Arabidopsis thaliana		root	5 day			
1028	E-GEOD-32683	microarray_1colour_mrna_differential	Drosophila melanogaster	late embryonic stage					
1029	E-GEOD-32697	microarray_1colour_mrna_differential	Mus musculus		colon	6 to 7 week		colitis; normal	
1030	E-GEOD-32706	microarray_1colour_mrna_differential	Mus musculus		liver	17 week			male
1031	E-GEOD-32876	microarray_1colour_mrna_differential	Homo sapiens					glioblastoma	
1032	E-GEOD-32893	microarray_1colour_mrna_differential	Homo sapiens		bronchial epithelium			normal	
1033	E-GEOD-32920	microarray_1colour_mrna_differential	Homo sapiens		skin				
1034	E-GEOD-32924	microarray_1colour_mrna_differential	Homo sapiens		skin			atopic eczema	
1035	E-GEOD-32939	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood	adult			
1036	E-GEOD-33006	microarray_1colour_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
1037	E-GEOD-3307	microarray_1colour_mrna_differential	Homo sapiens		skeletal muscle; skeletal muscle, muscle			Becker muscular dystrophy; Duchenne muscular dystrophy; X-linked recessive Emery-Dreifuss muscular dystrophy; acute quadriplegic myopathy; amyotrophic lateral sclerosis; autosomal dominant Emery-Dreifuss muscular dystrophy; fascioscapulohumeral muscular dystrophy; hereditary spastic paraplegia; juvenile dermatomyositis; limb girdle muscular dystrophy 2A; limb girdle muscular dystrophy 2B; limb girdle muscular dystrophy 2I	female, male; female, male, unknown; male; male, unknown; unknown
1038	E-GEOD-33091	microarray_1colour_mrna_differential	Mus musculus	E15.5	lumbar spinal cord				
1039	E-GEOD-3311	microarray_1colour_mrna_differential	Rattus norvegicus		pancreas				male
1040	E-GEOD-33141	rnaseq_mrna_differential	Mus musculus		retina	21 day			
1041	E-GEOD-33143	microarray_1colour_mrna_differential	Homo sapiens					colorectal adenocarcinoma	
1042	E-GEOD-33161	microarray_1colour_mrna_differential	Mus musculus		liver	8 to 9 week			male
1043	E-GEOD-33204	microarray_1colour_mrna_differential	Oryza sativa Indica Group		leaf	30 day; 60 day; 75 day; 90 day			
1044	E-GEOD-3325	microarray_1colour_mrna_differential	Homo sapiens		prostate gland			metastatic prostate cancer; primary prostate cancer	
1045	E-GEOD-33266	microarray_1colour_mrna_differential	Mus musculus		lung	20 week			female
1046	E-GEOD-33267	microarray_1colour_mrna_differential	Homo sapiens		lung			lung adenocarcinoma	
1047	E-GEOD-33270	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism				
1048	E-GEOD-33292	microarray_1colour_mrna_differential	Mus musculus		thymus	8 to 12 week			
1049	E-GEOD-33294	rnaseq_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
1050	E-GEOD-33302	microarray_1colour_mrna_differential	Mus musculus		hippocampus	2 month			
1051	E-GEOD-33344	microarray_1colour_mrna_differential	Arabidopsis thaliana		root				
1052	E-GEOD-33381	microarray_1colour_mrna_differential	Mus musculus		epididymal white adipose tissue; liver	10 to 12 week			male
1053	E-GEOD-33411	microarray_1colour_mrna_differential	Oryza sativa Indica Group		shoot				
1054	E-GEOD-33441	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	5 days after pollination stage; before flowering stage	panicle				
1055	E-GEOD-33443	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
1056	E-GEOD-33455	microarray_1colour_mrna_differential	Homo sapiens					metastatic prostate cancer	
1057	E-GEOD-33520	microarray_1colour_mrna_differential	Homo sapiens		lung				
1058	E-GEOD-33552	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
1059	E-GEOD-33601	rnaseq_mrna_differential	Homo sapiens		skin			mucosal leishmaniasis	
1060	E-GEOD-33643	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1061	E-GEOD-33754	microarray_1colour_mrna_differential	Mus musculus		articular cartilage	18 week; 40 week; 8 week			
1062	E-GEOD-33766	microarray_1colour_mrna_differential	Mus musculus	E12.5	whole whisker pad				
1063	E-GEOD-33790	microarray_1colour_mrna_differential	Arabidopsis thaliana		root; shoot	30 day; 33 day			
1064	E-GEOD-33827	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1065	E-GEOD-33878	microarray_1colour_mrna_differential	Mus musculus			4 to 6 week			
1066	E-GEOD-33950	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1067	E-GEOD-33953	microarray_1colour_mrna_differential	Mus musculus			16 day; 26 day; 6 day			
1068	E-GEOD-33979	rnaseq_mrna_differential	Mus musculus	embryonic day 14.5	liver				
1069	E-GEOD-33989	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larva stage	whole larva				male
1070	E-GEOD-34011	microarray_1colour_mrna_differential	Mus musculus		duodenum				female
1071	E-GEOD-34015	microarray_1colour_mrna_differential	Homo sapiens					mucosa-associated lymphoid tissue lymphoma	
1072	E-GEOD-34055	microarray_1colour_mrna_differential	Homo sapiens						
1073	E-GEOD-34113	microarray_1colour_mrna_differential	Caenorhabditis elegans						
1074	E-GEOD-34130	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	root	12 day			
1075	E-GEOD-3414	microarray_1colour_mrna_differential	Mus musculus		lung				male
1076	E-GEOD-3416	microarray_1colour_mrna_differential	Arabidopsis thaliana		rosette leaf	5 to 6 week			
1077	E-GEOD-34178	microarray_1colour_mrna_differential	Sus scrofa		oviduct				
1078	E-GEOD-34205	microarray_1colour_mrna_differential	Homo sapiens	infant		120 month, 18 month, 19 month, 4 month, 6 month, 132 month, 24 month, 5 month, 4.5 month, 48 month, 1.25 month, 1.5 month, 0.5 month, 0.75 month, 17 month, 11 month, 72 month; 5.17 month, 2.17 month, 0.87 month, 0.9 month, 4 month, 3.2 month, 2.63 month, 0.67 month, 3.5 month, 13.78 month, 1.7 month, 0.5 month, 8.43 month, 6.57 month, 2 month, 2.03 month, 2.3 month, 8.73 month, 1.97 month, 1.17 month, 13.57 month, 0.93 month, 1.37 month, 7.9 month, 9.17 month, 16.67 month, 1.8 month, 2.1 month, 9.73 month, 2.8 month, 0.73 month, 0.33 month, 3.83 month, 31.5 month, 1.75 month, 1.83 month, 4.4 month, 1.6 month, 2.57 month, 2.47 month, 1.43 month, 2.9 month, 1.23 month, 1.9 month, 1.63 month, 1.93 month, 2.4 month, 1.53 month		Respiratory Syncytial Virus Infection; influenza	female, male
1079	E-GEOD-34209	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	9 day			
1080	E-GEOD-34232	microarray_1colour_mrna_differential	Mus musculus		pancreas	8 week			
1081	E-GEOD-34248	microarray_1colour_mrna_differential	Homo sapiens		skin			psoriasis	female, male
1082	E-GEOD-34268	microarray_1colour_mrna_differential	Homo sapiens					myelodysplastic syndrome	
1083	E-GEOD-34305	microarray_1colour_mrna_differential	Mus musculus		brain	70 day			male
1084	E-GEOD-34308	microarray_1colour_mrna_differential	Homo sapiens		dermis			X-linked cerebral adrenoleukodystrophy	
1085	E-GEOD-34309	microarray_1colour_mrna_differential	Homo sapiens		skin			X-linked cerebral adrenoleukodystrophy	
1086	E-GEOD-34331	microarray_1colour_mrna_differential	Homo sapiens						
1087	E-GEOD-34424	microarray_1colour_mrna_differential	Rattus norvegicus		hippocampus CA1	3 to 5 month			male
1088	E-GEOD-34437	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney			normal; transplant rejection	
1089	E-GEOD-34476	rnaseq_mrna_differential	Arabidopsis thaliana		shoot apical meristem	2 week			
1090	E-GEOD-34523	microarray_1colour_mrna_differential	Homo sapiens					breast ductal adenocarcinoma	
1091	E-GEOD-34547	microarray_1colour_mrna_differential	Oryza sativa	9 days after fertilization	endosperm				
1092	E-GEOD-34595	microarray_1colour_mrna_differential	Arabidopsis thaliana		cultured explant				
1093	E-GEOD-34635	microarray_1colour_mrna_differential	Homo sapiens						
1094	E-GEOD-34654	rnaseq_mrna_differential	Arabidopsis thaliana	seedling	whole organism	2 week			
1095	E-GEOD-34655	rnaseq_mrna_differential	Arabidopsis thaliana	seedling	whole organism	15 day			
1096	E-GEOD-34667	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf				
1097	E-GEOD-34670	microarray_1colour_mrna_differential	Homo sapiens	pediatric	bone marrow				
1098	E-GEOD-34748	microarray_1colour_mrna_differential	Homo sapiens		kidney				
1099	E-GEOD-34761	microarray_1colour_mrna_differential	Mus musculus						
1100	E-GEOD-34773	microarray_1colour_mrna_differential	Mus musculus		TA/EDL muscles				
1101	E-GEOD-34837	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	14 day			
1102	E-GEOD-3486	microarray_1colour_mrna_differential	Mus musculus	fetal	cornea; skin; tendon	19 day			
1103	E-GEOD-34874	microarray_1colour_mrna_differential	Mus musculus		colon	8 weeks and 3 days		dextran sodium sulphate induced colitis; normal	male
1104	E-GEOD-34880	microarray_1colour_mrna_differential	Homo sapiens		bone marrow			B-precursor acute lymphoblastic leukemia	
1105	E-GEOD-34897	microarray_1colour_mrna_differential	Arabidopsis thaliana						
1106	E-GEOD-34907	microarray_1colour_mrna_differential	Mus musculus						
1107	E-GEOD-34925	microarray_1colour_mrna_differential	Homo sapiens						
1108	E-GEOD-34959	microarray_1colour_mrna_differential	Mus musculus		bone marrow			MLL-AF9-induced acute myeloid leukemia	
1109	E-GEOD-34961	microarray_1colour_mrna_differential	Mus musculus		bone marrow			MLL-AF9-induced acute myeloid leukemia	
1110	E-GEOD-35004	microarray_1colour_mrna_differential	Homo sapiens						
1111	E-GEOD-35006	microarray_1colour_mrna_differential	Homo sapiens					breast ductal adenocarcinoma	
1112	E-GEOD-35008	microarray_1colour_mrna_differential	Homo sapiens		bone marrow	55, 56, 50; 56, 50; 56, 60, 50		acute myeloid leukemia	
1113	E-GEOD-35013	microarray_1colour_mrna_differential	Mus musculus	embryonic day 9.5	pharyngeal arch				
1114	E-GEOD-35031	microarray_1colour_mrna_differential	Homo sapiens					breast carcinoma	
1115	E-GEOD-35057	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		14 day			
1116	E-GEOD-35118	microarray_1colour_mrna_differential	Homo sapiens		tumor developed in recipient mice			triple-negative breast cancer	
1117	E-GEOD-35160	microarray_1colour_mrna_differential	Mus musculus		skin				female
1118	E-GEOD-35166	microarray_1colour_mrna_differential	Arabidopsis thaliana		flower bud	33 day			
1119	E-GEOD-35198	microarray_1colour_mrna_differential	Homo sapiens						
1120	E-GEOD-35240	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larva stage	brain and imaginal disc				
1121	E-GEOD-35243	microarray_1colour_mrna_differential	Mus musculus	embryonic day 12.5; embryonic day 16.5	diaphragm				
1122	E-GEOD-35258	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling development stage	whole organism	7 day			
1123	E-GEOD-35288	rnaseq_mrna_differential	Arabidopsis thaliana	end of flowering	flower receptacle				
1124	E-GEOD-35322	microarray_1colour_mrna_differential	Mus musculus		skin	30 month			female; male
1125	E-GEOD-35332	microarray_1colour_mrna_differential	Mus musculus		bone marrow				
1126	E-GEOD-35351	microarray_1colour_mrna_differential	Homo sapiens					pancreatic carcinoma	
1127	E-GEOD-35354	microarray_1colour_mrna_differential	Caenorhabditis elegans	L4 larva					
1128	E-GEOD-35357	microarray_1colour_mrna_differential	Mus musculus	embryonic day 13.5	tongue				
1129	E-GEOD-35382	microarray_1colour_mrna_differential	Homo sapiens					colon cancer	
1130	E-GEOD-35395	microarray_1colour_mrna_differential	Mus musculus	embryonic day 11.5	aorta/gonad/mesonephros region				
1131	E-GEOD-35396	microarray_1colour_mrna_differential	Mus musculus		pineal gland; retina	2 month			
1132	E-GEOD-3541	microarray_1colour_mrna_differential	Rattus norvegicus	embryonic day 19	lung				
1133	E-GEOD-35428	microarray_1colour_mrna_differential	Homo sapiens						
1134	E-GEOD-35435	microarray_1colour_mrna_differential	Mus musculus		bone marrow				
1135	E-GEOD-35439	microarray_1colour_mrna_differential	Drosophila melanogaster		whole fly				
1136	E-GEOD-35471	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larva stage	eye disc				
1137	E-GEOD-35493	microarray_1colour_mrna_differential	Homo sapiens		brain			atypical teratoid / rhabdoid tumor; glioblastoma; medulloblastoma; medulloblastoma, large-cell; primitive neuroectodermal tumor	
1138	E-GEOD-35525	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
1139	E-GEOD-3554	microarray_1colour_mrna_differential	Mus musculus		retina	8 month		glaucoma	female
1140	E-GEOD-35561	microarray_1colour_mrna_differential	Homo sapiens						
1141	E-GEOD-35580	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	columella; epidermis; pericycle; stele; whole root	1 week			
1142	E-GEOD-35616	rnaseq_mrna_differential	Mus musculus	embryonic day 14.5	telencephalon				
1143	E-GEOD-35642	microarray_1colour_mrna_differential	Homo sapiens						
1144	E-GEOD-3566	microarray_1colour_mrna_differential	Drosophila melanogaster						
1145	E-GEOD-35696	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1146	E-GEOD-35700	microarray_1colour_mrna_differential	Arabidopsis thaliana	4 week	petiole				
1147	E-GEOD-35825	microarray_1colour_mrna_differential	Mus musculus		bone marrow	6 week			female
1148	E-GEOD-35830	microarray_1colour_mrna_differential	Homo sapiens						
1149	E-GEOD-35843	rnaseq_mrna_differential	Oryza sativa Japonica Group		root tip				
1150	E-GEOD-35893	microarray_1colour_mrna_differential	Arabidopsis thaliana		aerial part	8 week			
1151	E-GEOD-35899	microarray_1colour_mrna_differential	Mus musculus		mammary gland				
1152	E-GEOD-35961	microarray_1colour_mrna_differential	Mus musculus		liver				
1153	E-GEOD-35972	microarray_1colour_mrna_differential	Homo sapiens						
1154	E-GEOD-36011	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	aerial part	14 day			
1155	E-GEOD-36016	microarray_1colour_mrna_differential	Mus musculus		lung	10 week			mixed
1156	E-GEOD-36035	microarray_1colour_mrna_differential	Homo sapiens					nodular melanoma	
1157	E-GEOD-36076	microarray_1colour_mrna_differential	Homo sapiens		blood			gastric carcinoma; hepatocellular carcinoma; pancreatic carcinoma	
1158	E-GEOD-36082	microarray_1colour_mrna_differential	Homo sapiens						
1159	E-GEOD-36095	microarray_1colour_mrna_differential	Mus musculus						
1160	E-GEOD-36151	microarray_1colour_mrna_differential	Saccharomyces cerevisiae						
1161	E-GEOD-36176	microarray_1colour_mrna_differential	Homo sapiens						
1162	E-GEOD-3621	microarray_1colour_mrna_differential	Mus musculus		brain hemisphere	18 week; 27 week			
1163	E-GEOD-36271	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	seedling	mesocotyl	4 day			
1164	E-GEOD-36272	microarray_1colour_mrna_differential	Oryza sativa		leaf	14 day			
1165	E-GEOD-36287	microarray_1colour_mrna_differential	Homo sapiens		skin				
1166	E-GEOD-36336	microarray_1colour_mrna_differential	Mus musculus		kidney			diabetes mellitus	male
1167	E-GEOD-36389	microarray_1colour_mrna_differential	Homo sapiens						
1168	E-GEOD-36391	rnaseq_mrna_baseline	Setaria italica		leaf; root; stem; tassel inflorescence	40 day			
1169	E-GEOD-36437	microarray_1colour_mrna_differential	Mus musculus		caudal artery	4 week			
1170	E-GEOD-36445	microarray_1colour_mrna_differential	Mus musculus						
1171	E-GEOD-36509	microarray_1colour_mrna_differential	Homo sapiens						
1172	E-GEOD-36547	microarray_1colour_mrna_differential	Homo sapiens		umbilical cord blood				
1173	E-GEOD-36564	microarray_1colour_mrna_differential	Mus musculus			8 week			female
1174	E-GEOD-36581	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
1175	E-GEOD-36761	rnaseq_mrna_differential	Homo sapiens		heart right ventricle			Tetralogy of Fallot	
1176	E-GEOD-36765	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			breast carcinoma	
1177	E-GEOD-36766	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			normal	
1178	E-GEOD-3678	microarray_1colour_mrna_differential	Homo sapiens		thyroid gland			papillary thyroid carcinoma	
1179	E-GEOD-36789	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf; root	30 day			
1180	E-GEOD-36806	microarray_1colour_mrna_differential	Mus musculus		colon			colitis	
1181	E-GEOD-36810	microarray_1colour_mrna_differential	Mus musculus		left lung	15 week			male
1182	E-GEOD-36826	microarray_1colour_mrna_differential	Mus musculus		skin			Staphylococcus aureus cutaneous infection; normal	
1183	E-GEOD-36842	microarray_1colour_mrna_differential	Homo sapiens		skin	26 year, 20 year, 52 year, 67 year, 41 year, 45 year, 33 year; 26 year, 20 year, 52 year, 67 year, 45 year, 41 year, 33 year		atopic eczema	
1184	E-GEOD-36888	microarray_1colour_mrna_differential	Mus musculus		spleen				
1185	E-GEOD-36906	microarray_1colour_mrna_differential	Sus scrofa	neonate	trachea				
1186	E-GEOD-36933	microarray_1colour_mrna_differential	Homo sapiens		blood				
1187	E-GEOD-36980	microarray_1colour_mrna_differential	Homo sapiens		frontal cortex; hippocampus; temporal cortex	89 year, 90 year, 100 year, 95 year, 92 year, 84 year, 105 year, 101 year, 94 year, 91 year, 88 year, 83 year, 99 year; 89 year, 90 year, 84 year, 91 year, 88 year, 83 year, 95 year; 90 year, 88 year, 100 year, 83 year, 95 year, 99 year		Alzheimers disease	female, male
1188	E-GEOD-37003	rnaseq_mrna_differential	Homo sapiens					hepatocellular carcinoma	
1189	E-GEOD-37014	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
1190	E-GEOD-37031	microarray_1colour_mrna_differential	Homo sapiens	adult	liver			non-alcoholic steatohepatitis	
1191	E-GEOD-37049	microarray_1colour_mrna_differential	Homo sapiens						
1192	E-GEOD-37087	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1193	E-GEOD-37098	microarray_1colour_mrna_differential	Mus musculus		choroid plexus	3 week			male
1194	E-GEOD-37136	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1195	E-GEOD-37148	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	whole flie	45 day; 5 day			male
1196	E-GEOD-37161	microarray_1colour_mrna_differential	Oryza sativa Indica Group	seedling	root	2 week			
1197	E-GEOD-37171	microarray_1colour_mrna_differential	Homo sapiens		blood	30.3 year, 56.8 year, 38.8 year, 57.8 year, 49.5 year, 53.2 year, 55.2 year, 52.2 year, 35.9 year, 42 year, 71.8 year, 31.8 year, 58.7 year, 24.5 year, 50.2 year, 58.1 year, 50.8 year, 60 year, 51.8 year, 57.1 year, 43.4 year, 50.7 year, 36.4 year, 45.1 year, 38.4 year, 47.4 year, 32.4 year, 45.4 year, 50 year, 37.9 year, 37.3 year, 49.7 year, 55.3 year, 37.6 year, 46.6 year, 42.3 year, 64.6 year, 60.9 year, 29 year, 57.5 year, 58.5 year, 37 year, 20.3 year, 43.2 year, 58.4 year, 56.4 year, 44.8 year, 23.2 year, 34.5 year, 35.5 year, 60.4 year, 51.4 year, 30 year, 51.1 year, 55.4 year, 40.1 year, 55.7 year, 47.9 year, 38 year, 54.6 year, 61.6 year, 27 year, 50.3 year, 20.7 year, 47.3 year, 52.6 year, 58.6 year, 65.9 year		chronic kidney disease	female, male
1198	E-GEOD-37195	microarray_1colour_mrna_differential	Mus musculus		thoracic aorta				
1199	E-GEOD-37209	microarray_1colour_mrna_differential	Mus musculus		small intestine	4 month			
1200	E-GEOD-37211	rnaseq_mrna_differential	Homo sapiens		parathyroid adenoma				female
1201	E-GEOD-37218	microarray_1colour_mrna_differential	Mus musculus		white adipose tissue	18 week			male
1202	E-GEOD-37258	microarray_1colour_mrna_differential	Homo sapiens					Klinefelter’s Syndrome	
1203	E-GEOD-37266	microarray_1colour_mrna_differential	Caenorhabditis elegans		whole organism				
1204	E-GEOD-37286	microarray_1colour_mrna_differential	Mus musculus						
1205	E-GEOD-37319	microarray_1colour_mrna_differential	Mus musculus			10 week			
1206	E-GEOD-37363	microarray_1colour_mrna_differential	Homo sapiens		lymphoma biopsy			diffuse large B-cell derived lymphoma	
1207	E-GEOD-3737	microarray_1colour_mrna_differential	Homo sapiens						
1208	E-GEOD-37373	microarray_1colour_mrna_differential	Homo sapiens						
1209	E-GEOD-37376	rnaseq_mrna_differential	Homo sapiens						
1210	E-GEOD-37408	microarray_1colour_mrna_differential	Arabidopsis thaliana		rosette leaf				
1211	E-GEOD-37432	microarray_1colour_mrna_differential	Caenorhabditis elegans	young adult	whole organism				
1212	E-GEOD-37458	microarray_1colour_mrna_differential	Mus musculus		heart	3 month			male
1213	E-GEOD-37468	microarray_1colour_mrna_differential	Mus musculus		liver	14 month			male
1214	E-GEOD-37474	microarray_1colour_mrna_differential	Homo sapiens		trabecular meshwork	73 year, 77 year, 90 year, 51 year, 69 year			female, male
1215	E-GEOD-3749	microarray_1colour_mrna_differential	Mus musculus						male
1216	E-GEOD-37553	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	root	3 week			
1217	E-GEOD-37556	microarray_1colour_mrna_differential	Zea mays						
1218	E-GEOD-37559	microarray_1colour_mrna_differential	Mus musculus			14 month			female
1219	E-GEOD-37571	microarray_1colour_mrna_differential	Homo sapiens		lung			lung cancer	
1220	E-GEOD-37603	microarray_1colour_mrna_differential	Homo sapiens						
1221	E-GEOD-37609	microarray_1colour_mrna_differential	Mus musculus		olfactory epithelium (septa and turbinates)				
1222	E-GEOD-37646	rnaseq_mrna_differential	Mus musculus	day 6 of pregnancy	mammary gland				
1223	E-GEOD-37699	microarray_1colour_mrna_differential	Homo sapiens		lung			lung cancer	
1224	E-GEOD-37701	microarray_1colour_mrna_differential	Drosophila melanogaster						
1225	E-GEOD-37781	microarray_1colour_mrna_differential	Homo sapiens					breast carcinoma	
1226	E-GEOD-37782	microarray_1colour_mrna_differential	Gallus gallus	E1.5 (HH11)	neural tube				
1227	E-GEOD-37811	rnaseq_mrna_differential	Drosophila melanogaster	adult	head				female, male
1228	E-GEOD-37820	microarray_1colour_mrna_differential	Homo sapiens					breast adenocarcinoma	
1229	E-GEOD-37827	microarray_1colour_mrna_differential	Homo sapiens	adult	lung			lung adenocarcinoma	
1230	E-GEOD-37859	microarray_1colour_mrna_differential	Mus musculus						
1231	E-GEOD-37911	microarray_1colour_mrna_differential	Homo sapiens					breast adenocarcinoma	
1232	E-GEOD-37922	microarray_1colour_mrna_differential	Sus scrofa		left ventricle	2 to 3 month			female, male
1233	E-GEOD-37940	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	three leaves visible stage	shoot				
1234	E-GEOD-38001	microarray_1colour_mrna_differential	Mus musculus	embryo					
1235	E-GEOD-38007	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1236	E-GEOD-38023	microarray_1colour_mrna_differential	Oryza sativa	coleoptile emergence stage	leaf				
1237	E-GEOD-38136	microarray_1colour_mrna_differential	Mus musculus		liver				male
